student_id,course_id,assignment,midterm,final_grade,attendance_rate,completion_rate
AUS11111,TEC004,67.5,85.0,83.0,100.0,100.0
AUS11114,TEC004,86.5,98.0,82.2,100.0,100.0
AUS11113,TEC004,78.5,78.0,76.6,100.0,100.0
AUS11112,TEC004,79.5,75.0,72.4,100.0,100.0
AUS11115,TEC004,71.5,55.0,63.8,100.0,100.0
AUS11118,TEC004,84.5,78.0,75.3,100.0,100.0
AUS11119,TEC004,60.5,67.0,72.2,100.0,100.0
AUS11120,TEC004,51.0,45.0,66.2,100.0,100.0
AUS11121,TEC004,74.0,89.0,79.0,100.0,100.0
AUS11122,TEC004,73.5,77.0,76.8,100.0,100.0
AUS11123,TEC004,65.0,88.0,88.4,100.0,100.0
AUS11124,TEC004,82.0,68.0,64.3,100.0,100.0
AUS11125,TEC004,77.5,75.0,66.5,100.0,100.0
AUS11126,TEC004,93.0,71.0,78.9,100.0,100.0
AUS11127,TEC004,55.0,66.0,64.3,100.0,50.0
AUS11128,TEC004,66.0,45.0,49.2,100.0,100.0
AUS11129,TEC004,74.5,70.0,80.4,100.0,100.0
AUS11130,TEC004,66.5,80.0,75.8,100.0,100.0
AUS11131,TEC004,45.0,85.0,78.5,100.0,100.0
AUS11132,TEC004,79.5,75.0,72.4,100.0,100.0
AUS11133,TEC004,78.5,78.0,76.6,100.0,100.0
AUS11134,TEC004,86.5,98.0,82.2,100.0,100.0
AUS11135,TEC004,71.5,55.0,63.8,93.33,100.0
AUS11136,TEC004,76.5,57.0,54.9,100.0,100.0
AUS11137,TEC004,84.5,78.0,75.3,100.0,100.0
AUS11138,TEC004,60.5,67.0,72.2,93.33,100.0
AUS11139,TEC004,51.0,45.0,66.2,100.0,100.0
AUS11140,TEC004,74.0,89.0,79.0,100.0,100.0
AUS11141,TEC004,73.5,77.0,76.8,100.0,100.0
AUS11117,TEC004,76.5,57.0,54.9,100.0,100.0
AUS11111,SE005,0.0,0.0,0.0,0.0,0.0
AUS11114,SE005,0.0,0.0,0.0,0.0,0.0
AUS11113,SE005,0.0,0.0,0.0,0.0,0.0
AUS11112,SE005,0.0,0.0,0.0,0.0,0.0
AUS11115,SE005,0.0,0.0,0.0,0.0,0.0
AUS11117,SE005,0.0,0.0,0.0,0.0,0.0
AUS11118,SE005,0.0,0.0,0.0,0.0,0.0
AUS11119,SE005,0.0,0.0,0.0,0.0,0.0
